rank,objective_value,ring_a,ring_b,ring_c,fixed_count
94,110850.9296187247,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_15,upperarm_ring_tilt_all_60,24
95,110846.8575530435,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_60,upperarm_cap_1_tilt_all_-10,24
96,110841.4297197594,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-15,upperarm_ring_tilt_all_45,24
97,110805.6146623856,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
98,110795.8799095628,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_0,upperarm_ring_tilt_all_60,24
99,110795.8799095628,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.11,24
100,110759.2476615376,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-15,24
101,110730.6698382078,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
102,110726.9752884627,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
103,110719.9298812227,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
104,110707.5521396392,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_0,24
105,110668.8313051247,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
106,110666.9437427705,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_0,24
107,110665.0537984468,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
108,110585.7541734801,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
109,110584.1422014148,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
110,110570.1225598632,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
111,110541.8085698685,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_60,24
112,110539.7077356682,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
113,110445.0336501067,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
114,110410.6263594813,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
115,110402.8628379187,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_0,upperarm_ring_tilt_all_45,24
116,110388.1922082901,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,24
117,110369.0252061442,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
118,110360.5308517391,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
119,110345.8228006442,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
120,110341.3789240363,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
121,110334.9649348562,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-30,upperarm_ring_tilt_all_45,24
122,110320.4392973584,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
123,110316.8082741166,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
124,110310.3449758626,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,upperarm_ring_tilt_all_30,24
125,110300.3841016302,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,24
126,110277.9749059854,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
127,110274.4684289610,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_0,24
128,110266.9171369722,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.26,24
129,110262.8466844535,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
130,110251.5341288117,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
131,110244.0727300898,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
132,110216.8885030778,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,24
133,110212.0127264853,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.31,24
134,110211.6201932067,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
135,110191.0225197137,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_0,24
136,110189.5940886823,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,24
137,110172.6458364985,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_0,upperarm_cap_1_tilt_all_0,24
138,110161.7981869401,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_0,upperarm_ring_tilt_all_60,24
139,110161.7981869401,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.11,24
140,110111.9872855068,forearm_cap_1_tilt_all_30,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
141,110103.6869342608,base_cap_tilt_all_-10,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
142,110075.5655729508,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
143,110047.0138540600,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-30,24
144,110046.2065023073,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_0,24
145,110015.8681459652,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
146,110008.5123740430,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_60,upperarm_cap_1_tilt_all_-15,24
147,110006.1355606345,forearm_cap_2_tilt_all_10,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
148,109980.3876172747,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
149,109955.9129571392,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
150,109952.5532238650,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
151,109949.5188561845,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
152,109907.9302240854,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,wrist_cap_1_tilt_all_-30,24
153,109907.4588223988,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_0,24
154,109895.4896108596,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
155,109895.3878082293,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-30,24
156,109893.6048837605,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-30,upperarm_ring_tilt_all_45,24
157,109869.4719553010,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,24
158,109865.9415099010,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
159,109860.8295661998,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-15,24
160,109858.6159023791,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-30,upperarm_ring_tilt_all_60,24
161,109850.2671808470,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_2_tilt_all_-15,24
162,109831.0664231494,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
163,109830.4861261242,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_-15,24
164,109797.5408864061,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,24
165,109782.1647692677,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,24
166,109777.9979088915,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
167,109771.0117431689,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_30,upperarm_cap_1_tilt_all_-10,24
168,109767.6346897200,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_-15,24
169,109754.1644206990,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
170,109721.0262438721,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,upperarm_cap_1_tilt_all_-10,24
171,109705.5750029274,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
172,109690.1545173741,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,24
173,109684.4447303377,flange_ring_tilt_all_0,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
174,109682.5597112122,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-15,24
175,109679.3131878884,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_15,24
176,109674.9372286976,forearm_cap_1_tilt_all_15,forearm_cap_1_tilt_all_45,upperarm_cap_1_tilt_all_-10,24
177,109673.2260045114,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_1_tilt_all_0,24
178,109661.0458977139,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-15,24
179,109648.4483747312,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_15,24
180,109647.5975876667,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_30,24
181,109634.4407940192,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_10,24
182,109628.7536538336,forearm_cap_1_tilt_all_10,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,24
183,109626.7471401184,forearm_cap_1_tilt_all_0,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-15,24
184,109623.6734375940,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
185,109623.5488862181,base_cap_tilt_all_-10,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-15,24
186,109605.9887494435,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,wrist_cap_1_tilt_all_-30,24
187,109597.3548117063,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_-10,upperarm_ring_tilt_all_45,24
188,109594.9700979751,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_-10,24
189,109580.6757213896,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_30,24
190,109578.8391781837,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_10,upperarm_cap_2_tilt_all_0,24
191,109575.1986520208,forearm_cap_1_tilt_all_15,upperarm_ring_tilt_all_10,upperarm_ring_tilt_all_60,24
192,109572.6464480931,base_cap_tilt_all_-15,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_0,24
193,109567.8020476138,forearm_cap_2_tilt_all_0,forearm_cap_2_tilt_all_45,upperarm_cap_2_tilt_all_-10,24
194,109565.5505639147,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_ring_tilt_all_60,24
195,109554.2939113050,base_cap_tilt_all_-30,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
196,109545.4329099028,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-10,24
197,109536.6655435695,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
198,109523.8318508587,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,wrist_cap_1_tilt_all_-15,24
199,109519.1959835102,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
200,109513.3248531713,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
201,109502.2570861321,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-15,24
202,109497.5172579556,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,wrist_cap_2_tilt_all_10,24
203,109494.7934447709,base_cap_tilt_all_-60,forearm_cap_1_tilt_all_10,upperarm_cap_1_tilt_all_-10,24
204,109482.0941183579,forearm_cap_1_tilt_all_10,forearm_cap_1_tilt_all_30,upperarm_cap_1_tilt_all_-15,24
205,109480.3504042248,forearm_cap_2_tilt_all_30,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_45,24
206,109468.9162911076,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
207,109468.8216542472,forearm_cap_1_tilt_all_15,forearm_cap_1_tilt_all_60,upperarm_cap_1_tilt_all_-10,24
208,109467.9228667809,base_cap_tilt_all_-10,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_-10,24
209,109460.8824694405,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_cap_2_tilt_all_-10,24
210,109449.1681569233,forearm_cap_1_tilt_all_30,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_60,24
211,109432.1576343706,forearm_cap_1_tilt_all_15,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
212,109420.8866610788,forearm_cap_2_tilt_all_10,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
213,109419.1620615977,forearm_cap_1_tilt_all_15,upperarm_cap_2_tilt_all_-10,upperarm_ring_tilt_all_30,24
214,109410.0756929993,forearm_cap_2_tilt_all_15,upperarm_cap_1_tilt_all_0,upperarm_ring_tilt_all_45,24
215,109409.6822137463,base_cap_tilt_all_-45,forearm_cap_1_tilt_all_15,upperarm_cap_1_tilt_all_0,24
216,109397.9333694234,forearm_cap_1_tilt_all_0,forearm_cap_1_tilt_all_45,upperarm_cap_2_tilt_all_-15,24
217,109397.3579940986,base_cap_tilt_all_-45,forearm_cap_2_tilt_all_15,upperarm_cap_2_tilt_all_0,24
218,109389.2906615777,forearm_cap_1_tilt_all_10,upperarm_ring_tilt_all_60,upperarm_ring_x_-0.31,24
219,109385.1247725578,base_cap_tilt_all_-30,forearm_cap_2_tilt_all_0,upperarm_cap_2_tilt_all_-15,24
